Age,Age_bins
42.0,41-60
41.0,41-60
42.0,41-60
39.0,21-40
43.0,41-60
44.0,41-60
50.0,41-60
29.0,21-40
44.0,41-60
27.0,21-40
31.0,21-40
24.0,21-40
34.0,21-40
25.0,21-40
35.0,21-40
45.0,41-60
58.0,41-60
24.0,21-40
45.0,41-60
24.0,21-40
41.0,41-60
32.0,21-40
38.0,21-40
46.0,41-60
38.0,21-40
25.0,21-40
36.0,21-40
44.0,41-60
43.0,41-60
29.0,21-40
39.0,21-40
36.0,21-40
41.0,41-60
42.0,41-60
29.0,21-40
45.0,41-60
31.0,21-40
33.0,21-40
36.0,21-40
41.0,41-60
40.0,21-40
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
30.0,21-40
37.0,21-40
41.0,41-60
31.0,21-40
34.0,21-40
34.0,21-40
39.0,21-40
39.0,21-40
48.0,41-60
28.0,21-40
42.0,41-60
52.0,41-60
56.0,41-60
41.0,41-60
24.0,21-40
34.0,21-40
33.0,21-40
38.0,21-40
25.0,21-40
39.0,21-40
50.0,41-60
34.0,21-40
40.0,21-40
48.0,41-60
35.0,21-40
44.0,41-60
34.0,21-40
43.0,41-60
52.0,41-60
31.0,21-40
21.0,21-40
29.0,21-40
37.0,21-40
44.0,41-60
32.0,21-40
32.0,21-40
48.0,41-60
42.0,41-60
37.0,21-40
43.0,41-60
57.0,41-60
33.0,21-40
28.0,21-40
73.0,61-80
33.0,21-40
22.0,21-40
30.0,21-40
49.0,41-60
36.0,21-40
29.0,21-40
31.0,21-40
24.0,21-40
41.0,41-60
39.0,21-40
24.0,21-40
29.0,21-40
27.0,21-40
44.0,41-60
30.0,21-40
40.0,21-40
35.0,21-40
30.0,21-40
36.0,21-40
40.0,21-40
55.0,41-60
45.0,41-60
65.0,61-80
45.0,41-60
42.0,41-60
50.0,41-60
32.0,21-40
39.0,21-40
37.0,21-40
30.0,21-40
34.0,21-40
41.0,41-60
36.0,21-40
40.0,21-40
32.0,21-40
29.0,21-40
35.0,21-40
32.0,21-40
37.0,21-40
57.0,41-60
35.0,21-40
30.0,21-40
42.0,41-60
50.0,41-60
38.0,21-40
33.0,21-40
37.0,21-40
41.0,41-60
34.0,21-40
45.0,41-60
45.0,41-60
33.0,21-40
31.0,21-40
41.0,41-60
34.0,21-40
26.0,21-40
47.0,41-60
46.0,41-60
33.0,21-40
43.0,41-60
54.0,41-60
31.0,21-40
30.0,21-40
42.0,41-60
33.0,21-40
45.0,41-60
37.0,21-40
30.0,21-40
39.0,21-40
50.0,41-60
29.0,21-40
72.0,61-80
40.0,21-40
37.0,21-40
